co_ibge,co_cnes,endereco_completo,no_logradouro,nu_endereco,no_bairro,co_cep,municipio,uf,lat,long
261160,6457959,"AV VISCONDE DE ALBUQUERQUE, 439, MADALENA, Recife, PE, 50610090",AV VISCONDE DE ALBUQUERQUE,439,MADALENA,50610090,Recife,PE,-8.050447928145,-34.906553001753
261160,6457967,"AVENIDA CONSELHEIRO AGUIAR, 5025, BOA VIAGEM, Recife, PE, 51021020",AVENIDA CONSELHEIRO AGUIAR,5025,BOA VIAGEM,51021020,Recife,PE,-8.131194206947,-34.901084934781
261160,6457975,"RUA BUENOS AIRES, 00128, ESPINHEIRO, Recife, PE, 52020180",RUA BUENOS AIRES,00128,ESPINHEIRO,52020180,Recife,PE,-8.047969913132,-34.893906924359
261160,6457983,"AV JOAO DE BARROS, 1406, 06, Recife, PE, 52021180",AV JOAO DE BARROS,1406,06,52021180,Recife,PE,-8.042142814045,-34.890834873026
261160,6458017,"AV FERNANDO SIMOES BARBOSA, 22, BOA VIAGEM, Recife, PE, 51020390",AV FERNANDO SIMOES BARBOSA,22,BOA VIAGEM,51020390,Recife,PE,-8.117515988703,-34.901525822888
261160,6468012,"AV SANTOS DUMONT, 1011, AFLITOS, Recife, PE, 52050375",AV SANTOS DUMONT,1011,AFLITOS,52050375,Recife,PE,-8.032473995365,-34.896049590267
261160,6468020,"RUA DO SOSSEGO, 217, BOA VISTA, Recife, PE, 50050080",RUA DO SOSSEGO,217,BOA VISTA,50050080,Recife,PE,-8.056179610107,-34.885397280979
261160,6468136,"RUA MANOEL DE CARVALHO, 105, AFLITOS, Recife, PE, 52050370",RUA MANOEL DE CARVALHO,105,AFLITOS,52050370,Recife,PE,-8.041299007852,-34.895416588939
261160,6468144,"RUA MANUEL DE CARVALHO, 105, AFLITOS, Recife, PE, 52050370",RUA MANUEL DE CARVALHO,105,AFLITOS,52050370,Recife,PE,-8.041299007852,-34.895416588939
261160,6468152,"RUA DA ANGUSTURA, 234, AFLITOS, Recife, PE, 52050340",RUA DA ANGUSTURA,234,AFLITOS,52050340,Recife,PE,-8.041839305331,-34.895811376579
261160,6472109,"RUA VISCONDE DE JEQUITINHONHA, 209, BOA VIAGEM, Recife, PE, 51130020",RUA VISCONDE DE JEQUITINHONHA,209,BOA VIAGEM,51130020,Recife,PE,-8.122766915766,-34.903713918712
261160,6472443,"AV MONTEVIDEU, 172, BOA VISTA, Recife, PE, 50050250",AV MONTEVIDEU,172,BOA VISTA,50050250,Recife,PE,-8.050645709993,-34.893218686289
261160,6472451,"AV VISCONDE DE JEQUITINHONHA, 1144, BOA VIAGEM, Recife, PE, 51030020",AV VISCONDE DE JEQUITINHONHA,1144,BOA VIAGEM,51030020,Recife,PE,-8.131208581911,-34.9031730345
261160,6472478,"RUA DA HORA, 557, ESPINHEIRO, Recife, PE, 52020010",RUA DA HORA,557,ESPINHEIRO,52020010,Recife,PE,-8.046060808956,-34.894018319852
261160,6472516,"AV PORTUGAL, 163, PAISSANDU, Recife, PE, 52010010",AV PORTUGAL,163,PAISSANDU,52010010,Recife,PE,-8.063346598327,-34.899051736528
261160,6475973,"AV ENGENHEIRO DOMINGOS FERREIRA, 636, PINA, Recife, PE, 51011050",AV ENGENHEIRO DOMINGOS FERREIRA,636,PINA,51011050,Recife,PE,-8.095644208647,-34.886214767995
261160,6476015,"AV ENG DOMINGOS FERREIRA, 2215, BOA VIAGEM, Recife, PE, 51020031",AV ENG DOMINGOS FERREIRA,2215,BOA VIAGEM,51020031,Recife,PE,-8.109823413244,-34.891519674515
261160,6476090,"AV VISCONDE DE ALBUQUERQUE, 776, MADELENA, Recife, PE, 50610090",AV VISCONDE DE ALBUQUERQUE,776,MADELENA,50610090,Recife,PE,-8.051356998296,-34.90636997619
261160,6476899,"RUA BUENOS AIRES, 166, ESPINHEIRO, Recife, PE, 52020180",RUA BUENOS AIRES,166,ESPINHEIRO,52020180,Recife,PE,-8.047805418283,-34.894254605702
261160,6477356,"RUA CONDADO, 92, PARNAMIRIM, Recife, PE, 52060080",RUA CONDADO,92,PARNAMIRIM,52060080,Recife,PE,-8.033355897308,-34.908707940443
261160,6483720,"AVENIDA DO FORTE, 750, CORDEIRO, Recife, PE, 50721110",AVENIDA DO FORTE,750,CORDEIRO,50721110,Recife,PE,-8.062550358124,-34.932212177059
261160,6483747,"AV ENGENHEIRO DOMINGOS FEREIRA, 2160, BOA VIAGEM, Recife, PE, 51111020",AV ENGENHEIRO DOMINGOS FEREIRA,2160,BOA VIAGEM,51111020,Recife,PE,-8.10841269703,-34.891453708937
261160,6486525,"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, 890, BOA VIAGEM, Recife, PE, 51011050",AVENIDA ENGENHEIRO DOMINGOS FERREIRA,890,BOA VIAGEM,51011050,Recife,PE,-8.097488897898,-34.886562533158
261160,6488234,"RUA HEITOR MAIA FILHO, 20, MADALENA, Recife, PE, 50720525",RUA HEITOR MAIA FILHO,20,MADALENA,50720525,Recife,PE,-8.057653483962,-34.903456594284
261160,6488242,"AV CONS ROSA E SILVA, 1460, JAQUEIRA, Recife, PE, 52050020",AV CONS ROSA E SILVA,1460,JAQUEIRA,52050020,Recife,PE,-8.038977370144,-34.899784841191
261160,6492231,"RUA ARISTIDES MUNIZ, 70, BOA VIAGEM, Recife, PE, 51020150",RUA ARISTIDES MUNIZ,70,BOA VIAGEM,51020150,Recife,PE,-8.109462614222,-34.892398600882
261160,6492436,"AV ENGENHEIRO DOMINGOS FERREIRA, 636, BOA VIAGEM, Recife, PE, 51011902",AV ENGENHEIRO DOMINGOS FERREIRA,636,BOA VIAGEM,51011902,Recife,PE,-8.095644208647,-34.886214767995
261160,6522173,"RUA BELARMINO CARNEIRO, 274, MADALENA, Recife, PE, 50710340",RUA BELARMINO CARNEIRO,274,MADALENA,50710340,Recife,PE,-8.049936684803,-34.909334571524
261160,6523439,"RUA BELARMINO CARNEIRO, 274, MADALENA, Recife, PE, 50710340",RUA BELARMINO CARNEIRO,274,MADALENA,50710340,Recife,PE,-8.049936684803,-34.909334571524
261160,6523862,"AV VISCONDE DE SUAASSUNA, 565, SANTO AMARO, Recife, PE, 50050540",AV VISCONDE DE SUAASSUNA,565,SANTO AMARO,50050540,Recife,PE,-8.052510515811,-34.886689016077
261160,6527248,"RUA VISCONDE DE ALBUQUERQUE, 776, MADALENA, Recife, PE, 50610090",RUA VISCONDE DE ALBUQUERQUE,776,MADALENA,50610090,Recife,PE,-8.051356998296,-34.90636997619
261160,6527876,"RUA JOSE DE HOLANDA, 440, TORRE, Recife, PE, 50710140",RUA JOSE DE HOLANDA,440,TORRE,50710140,Recife,PE,-8.044594604543,-34.908359923823
261160,6528120,"RUA VISCONDE DE JEQUITINHONHA, 209, BOA VIAGEM, Recife, PE, 51021190",RUA VISCONDE DE JEQUITINHONHA,209,BOA VIAGEM,51021190,Recife,PE,-8.122766915766,-34.903713918712
261160,6528147,"AV DR JOSE RUFINO, 3306, TEJIPIO, Recife, PE, 50930000",AV DR JOSE RUFINO,3306,TEJIPIO,50930000,Recife,PE,-8.090488416185,-34.951702577505
